model,step,tokens_b,loss,l2,ce,plan,lr,sps,log_path
ordered,9000,0.294912,1.5826,0.6847,0.1651,0.9952,0.000118,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,9100,0.2981888,1.5889,0.6916,0.1779,0.9962,0.000119,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,9200,0.3014656,1.5933,0.6919,0.1754,0.9973,0.000121,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,9300,0.3047424,1.5807,0.691,0.1705,0.9894,0.000122,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,9400,0.3080192,1.5827,0.6859,0.1668,0.9932,0.000123,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,9500,0.311296,1.5817,0.6857,0.1734,0.9906,0.000125,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,9600,0.3145728,1.6007,0.6939,0.1704,0.9991,0.000126,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,9700,0.3178496,1.5843,0.6872,0.1703,0.9883,0.000127,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,9800,0.3211264,1.5841,0.6891,0.1706,0.993,0.000129,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,9900,0.3244032,1.5788,0.6901,0.1733,0.9874,0.00013,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,10000,0.32768,1.5785,0.6863,0.1692,0.9875,0.000131,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,10100,0.3309568,1.5809,0.6877,0.1747,0.987,0.000133,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,10200,0.3342336,1.5804,0.6867,0.1654,0.9913,0.000134,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,10300,0.3375104,1.5899,0.6884,0.1765,0.997,0.000135,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,10400,0.3407872,1.5851,0.6854,0.168,0.9906,0.000137,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,10500,0.344064,1.5769,0.6824,0.171,0.9873,0.000138,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,10600,0.3473408,1.5822,0.6847,0.1751,0.9916,0.000139,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,10700,0.3506176,1.5753,0.6868,0.1708,0.9934,0.000141,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,10800,0.3538944,1.5768,0.6839,0.1748,0.987,0.000142,3.3,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,10900,0.3571712,1.5849,0.6907,0.1716,0.9946,0.000143,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,11000,0.360448,1.5891,0.6863,0.1628,0.9929,0.000145,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,11100,0.3637248,1.577,0.6902,0.1749,0.9871,0.000146,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,11200,0.3670016,1.5652,0.6865,0.1793,0.9787,0.000147,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,11300,0.3702784,1.5703,0.6875,0.1719,0.9841,0.000149,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,11400,0.3735552,1.5806,0.6913,0.1677,0.986,0.00015,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,11500,0.376832,1.5722,0.685,0.1746,0.9902,0.000151,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,11600,0.3801088,1.5809,0.6902,0.1616,0.9861,0.000153,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,11700,0.3833856,1.5854,0.6886,0.1712,0.992,0.000154,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,11800,0.3866624,1.568,0.6853,0.165,0.9806,0.000155,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,11900,0.3899392,1.5786,0.6923,0.179,0.9832,0.000156,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
ordered,12000,0.393216,1.5766,0.6904,0.1575,0.9841,0.000158,3.2,logs/ordered_5b_4g/train_ordered_4g_5b.log
