step,loss,l2,ce,plan,lr,sps
12800,1.5672,0.689,0.175,0.9758,0.000168,3.3
12900,1.5691,0.6894,0.166,0.9803,0.00017,3.2
13000,1.5739,0.687,0.1621,0.9781,0.000171,3.3
13100,1.5783,0.689,0.1621,0.9819,0.000172,3.3
13200,1.5721,0.6894,0.1584,0.9745,0.000174,3.2
13300,1.5786,0.6935,0.1644,0.9821,0.000175,3.3
13400,1.5678,0.6856,0.1632,0.9751,0.000176,3.3
13500,1.5634,0.6855,0.1708,0.9753,0.000177,3.2
13600,1.5715,0.6931,0.1684,0.9801,0.000179,3.3
13700,1.5727,0.6901,0.1662,0.9797,0.00018,3.2
13800,1.5577,0.6829,0.1738,0.9735,0.000181,3.2
13900,1.5682,0.6889,0.173,0.9735,0.000183,3.2
14000,1.5729,0.6925,0.1724,0.9804,0.000184,3.3
14100,1.5646,0.6874,0.1749,0.9778,0.000185,3.2
14200,1.5621,0.6866,0.1674,0.9672,0.000187,3.2
14300,1.5678,0.6921,0.1752,0.9736,0.000188,3.3
14400,1.5691,0.6872,0.1659,0.9697,0.000189,3.2
14500,1.5617,0.6907,0.1682,0.9685,0.000191,3.2
14600,1.5577,0.6917,0.1749,0.9673,0.000192,3.2
14700,1.5578,0.6881,0.1841,0.9698,0.000193,3.3
14800,1.5593,0.6908,0.1743,0.9675,0.000195,3.3
14900,1.5623,0.689,0.1745,0.974,0.000196,3.2
15000,1.5612,0.689,0.1716,0.9684,0.000197,3.3
15100,1.5531,0.6838,0.1728,0.9673,0.000198,3.3
15200,1.5602,0.6916,0.1766,0.9705,0.0002,3.2
15300,1.5559,0.6905,0.1669,0.9665,0.000201,3.3
15400,1.5575,0.6886,0.1713,0.9644,0.000202,3.2
15500,1.5641,0.6889,0.1693,0.9696,0.000204,3.3
15600,1.5494,0.688,0.1815,0.9632,0.000205,3.3
15700,1.5522,0.6904,0.1662,0.9598,0.000206,3.3
15800,1.5591,0.6901,0.1734,0.9652,0.000208,3.3
15900,1.5498,0.6871,0.171,0.9609,0.000209,3.3
16000,1.559,0.6945,0.1685,0.962,0.00021,3.2
16100,1.5505,0.6883,0.1729,0.9548,0.000212,3.3
16200,1.5499,0.6901,0.1837,0.9607,0.000213,3.3
16300,1.5472,0.6845,0.1695,0.9587,0.000214,3.3
16400,1.5465,0.6883,0.1691,0.954,0.000216,3.3
16500,1.5577,0.6918,0.1646,0.9639,0.000217,3.3
16600,1.548,0.6897,0.1727,0.9558,0.000218,3.3
16700,1.551,0.6946,0.1689,0.9538,0.000219,3.3
16800,1.5447,0.6931,0.1767,0.9479,0.000221,3.3
16900,1.5424,0.6911,0.169,0.9497,0.000222,3.3
17000,1.5378,0.6904,0.1754,0.944,0.000223,3.3
17100,1.5337,0.6893,0.1707,0.9437,0.000225,3.3
17200,1.5409,0.6887,0.1637,0.9476,0.000226,3.3
17300,1.5393,0.6893,0.1676,0.9454,0.000227,3.3
17400,1.5379,0.6922,0.1745,0.9394,0.000229,3.2
17500,1.5377,0.6874,0.1657,0.9461,0.00023,3.3
17600,1.5311,0.691,0.1773,0.9388,0.000231,3.3
17700,1.5236,0.6898,0.1714,0.9298,0.000233,3.3
17800,1.5316,0.6903,0.161,0.9344,0.000234,3.3
17900,1.5339,0.6892,0.1654,0.9401,0.000235,3.3
18000,1.5284,0.6947,0.1701,0.9291,0.000237,3.2
18100,1.5303,0.6921,0.1789,0.9388,0.000238,3.2
18200,1.5148,0.687,0.1759,0.9286,0.000239,3.3
18300,1.5186,0.6925,0.1674,0.9259,0.00024,3.3
18400,1.5137,0.6888,0.1738,0.9224,0.000242,3.3
18500,1.5174,0.6932,0.168,0.9253,0.000243,3.3
18600,1.5102,0.6934,0.1717,0.9189,0.000244,3.3
18700,1.5075,0.6833,0.1647,0.9183,0.000246,3.3
18800,1.5089,0.6926,0.1706,0.9139,0.000247,3.3
18900,1.5025,0.6873,0.1763,0.9103,0.000248,3.3
19000,1.5134,0.69,0.1648,0.9131,0.00025,3.3
19100,1.5019,0.6949,0.1737,0.9042,0.000251,3.2
19200,1.4994,0.6921,0.1716,0.9086,0.000252,3.3
19300,1.5047,0.6917,0.1835,0.9105,0.000254,3.3
19400,1.501,0.6924,0.1733,0.9064,0.000255,3.3
19500,1.4956,0.6885,0.1693,0.9054,0.000256,3.3
19600,1.4986,0.6852,0.1715,0.9027,0.000258,3.3
19700,1.4901,0.6926,0.1788,0.8961,0.000259,3.3
19800,1.482,0.6934,0.1711,0.8893,0.00026,3.3
19900,1.4916,0.6884,0.1689,0.8943,0.000261,3.3
20000,1.4803,0.6885,0.1726,0.8874,0.000263,3.3
20100,1.4749,0.6852,0.1735,0.8843,0.000264,3.2
20200,1.4777,0.6913,0.166,0.8827,0.000265,3.3
20300,1.4835,0.6939,0.1632,0.8871,0.000267,3.3
20400,1.4794,0.6879,0.1693,0.8832,0.000268,3.3
20500,1.4725,0.6935,0.1704,0.8758,0.000269,3.3
20600,1.4667,0.691,0.1687,0.8734,0.000271,3.3
20700,1.4663,0.6919,0.1751,0.874,0.000272,3.2
20800,1.4698,0.6918,0.1736,0.8735,0.000273,3.3
20900,1.4522,0.6888,0.1756,0.8622,0.000275,3.3
21000,1.4542,0.6892,0.1758,0.8637,0.000276,3.3
21100,1.4599,0.6887,0.171,0.8673,0.000277,3.3
21200,1.4559,0.6922,0.1665,0.8557,0.000279,3.3
21300,1.4563,0.6917,0.168,0.8565,0.00028,3.3
21400,1.4534,0.6923,0.1665,0.8563,0.000281,3.3
21500,1.439,0.6933,0.1788,0.8459,0.000282,3.2
21600,1.4423,0.6923,0.1709,0.8464,0.000284,3.3
21700,1.4408,0.6904,0.1641,0.8458,0.000285,3.2
21800,1.4374,0.6897,0.176,0.8401,0.000286,3.3
21900,1.4309,0.6931,0.1679,0.8349,0.000288,3.3
22000,1.4228,0.6864,0.1653,0.831,0.000289,3.3
22100,1.4245,0.6898,0.1713,0.8307,0.00029,3.3
22200,1.4202,0.6926,0.1733,0.8257,0.000292,3.3
22300,1.4115,0.6859,0.1728,0.8213,0.000293,3.3
22400,1.4148,0.691,0.1725,0.8211,0.000294,3.3
22500,1.4117,0.6913,0.17,0.8153,0.000296,3.3
22600,1.4052,0.6867,0.1731,0.814,0.000297,3.2
22700,1.402,0.6897,0.1726,0.8097,0.000298,3.3
22800,1.4029,0.6912,0.1691,0.8102,0.0003,3.3
22900,1.3883,0.6858,0.1726,0.8017,0.000301,3.3
23000,1.4059,0.6964,0.1783,0.8092,0.000302,3.3
23100,1.3894,0.6919,0.173,0.7953,0.000304,3.3
23200,1.3777,0.6863,0.1743,0.7902,0.000305,3.3
23300,1.3892,0.694,0.1741,0.7916,0.000306,3.3
23400,1.3823,0.6897,0.1636,0.786,0.000308,3.3
23500,1.377,0.6877,0.1688,0.785,0.000309,3.3
23600,1.3829,0.6927,0.1652,0.7853,0.00031,3.3
23700,1.3725,0.6866,0.1696,0.7832,0.000312,3.3
23800,1.3655,0.6899,0.1686,0.7695,0.000313,3.3
23900,1.3635,0.6906,0.1717,0.7727,0.000314,3.3
24000,1.3629,0.6913,0.1673,0.7638,0.000316,3.2
24100,1.3586,0.6928,0.1747,0.7612,0.000317,3.2
24200,1.3498,0.687,0.1764,0.7608,0.000318,3.3
24300,1.3459,0.6881,0.1768,0.7556,0.000319,3.3
24400,1.3428,0.6924,0.1719,0.7512,0.000321,3.3
24500,1.3467,0.6897,0.1709,0.7469,0.000322,3.3
24600,1.3411,0.6896,0.172,0.7513,0.000323,3.3
24700,1.3375,0.6921,0.1699,0.7418,0.000325,3.2
24800,1.3304,0.6933,0.1876,0.7368,0.000326,3.3
24900,1.3334,0.697,0.1676,0.7322,0.000327,3.3
25000,1.3393,0.6976,0.1622,0.7327,0.000329,3.3
25100,1.3247,0.6872,0.1724,0.734,0.00033,3.2
25200,1.3203,0.6906,0.1712,0.7305,0.000331,3.2
25300,1.312,0.6945,0.1772,0.7236,0.000333,3.3
25400,1.3147,0.6943,0.1805,0.717,0.000334,3.2
25500,1.3176,0.6909,0.1635,0.7157,0.000335,3.2
25600,1.305,0.6914,0.1778,0.7103,0.000337,3.2
25700,1.2913,0.6839,0.1777,0.7079,0.000338,3.3
25800,1.3024,0.6945,0.1764,0.7044,0.000339,3.3
25900,1.2995,0.6896,0.1756,0.7054,0.00034,3.2
26000,1.2929,0.6961,0.1736,0.6925,0.000342,3.3
26100,1.2846,0.6854,0.1711,0.6966,0.000343,3.2
26200,1.286,0.692,0.1707,0.6887,0.000344,3.2
26300,1.2755,0.6886,0.1718,0.6809,0.000346,3.3
26400,1.2691,0.6854,0.1728,0.6831,0.000347,3.3
26500,1.27,0.6878,0.1734,0.6808,0.000348,3.2
26600,1.2723,0.6917,0.1715,0.6753,0.00035,3.3
26700,1.2669,0.6836,0.1754,0.6784,0.000351,3.3
26800,1.2678,0.6902,0.1729,0.6707,0.000352,3.3
26900,1.2646,0.6923,0.1726,0.6667,0.000354,3.2
27000,1.2656,0.6884,0.1583,0.6706,0.000355,3.2
27100,1.2602,0.6885,0.163,0.663,0.000356,3.2
27200,1.2557,0.6895,0.1661,0.6569,0.000358,3.2
27300,1.2413,0.6898,0.1827,0.6522,0.000359,3.3
27400,1.2446,0.6929,0.1764,0.647,0.00036,3.2
27500,1.2363,0.6926,0.1704,0.6431,0.000361,3.2
27600,1.2445,0.6936,0.1712,0.6448,0.000363,3.2
27700,1.2238,0.6899,0.1725,0.6392,0.000364,3.2
27800,1.2342,0.6899,0.1734,0.6382,0.000365,3.3
27900,1.225,0.689,0.1728,0.631,0.000367,3.2
28000,1.2372,0.6924,0.1697,0.6353,0.000368,3.3
28100,1.2318,0.6936,0.1739,0.6328,0.000369,3.2
28200,1.2137,0.6917,0.1749,0.6231,0.000371,3.2
28300,1.2118,0.6927,0.1733,0.6158,0.000372,3.3
28400,1.225,0.6945,0.1677,0.6243,0.000373,3.3
28500,1.2084,0.6866,0.1712,0.6164,0.000375,3.2
28600,1.2092,0.6917,0.1719,0.6163,0.000376,3.2
28700,1.2049,0.6864,0.1729,0.6165,0.000377,3.3
28800,1.2087,0.6924,0.1665,0.6054,0.000379,3.3
28900,1.208,0.6932,0.1751,0.6125,0.00038,3.2
29000,1.1926,0.688,0.1739,0.5998,0.000381,3.3
29100,1.1798,0.6899,0.1773,0.5944,0.000382,3.2
29200,1.1942,0.6915,0.1711,0.6017,0.000384,3.2
29300,1.1772,0.6859,0.1868,0.591,0.000385,3.2
29400,1.1847,0.6957,0.1743,0.5842,0.000386,3.3
