timestamp, index, pstate, temperature.gpu, power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
2026/07/03 16:05:48.049, 4, P2, 30, 57.38 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:48.050, 5, P2, 30, 65.48 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:48.051, 6, P2, 30, 46.55 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:48.052, 7, P2, 30, 50.77 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:49.053, 0, P8, 29, 6.57 W, 3 MiB, 0 %, 0 %
2026/07/03 16:05:49.054, 1, P2, 31, 57.60 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:49.055, 2, P2, 35, 51.35 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:49.056, 3, P2, 31, 50.52 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:49.057, 4, P2, 30, 57.37 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:49.058, 5, P2, 30, 65.23 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:49.058, 6, P2, 30, 46.56 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:49.059, 7, P2, 30, 50.75 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:50.060, 0, P8, 29, 6.46 W, 3 MiB, 0 %, 0 %
2026/07/03 16:05:50.062, 1, P2, 31, 57.71 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:50.063, 2, P2, 35, 51.46 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:50.063, 3, P2, 31, 50.53 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:50.065, 4, P2, 30, 57.28 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:50.065, 5, P2, 30, 65.57 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:50.066, 6, P2, 30, 46.44 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:50.067, 7, P2, 30, 50.84 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:51.068, 0, P8, 28, 6.47 W, 3 MiB, 0 %, 0 %
2026/07/03 16:05:51.070, 1, P2, 31, 57.77 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:51.071, 2, P2, 35, 51.38 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:51.071, 3, P2, 31, 50.45 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:51.072, 4, P2, 30, 57.14 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:51.073, 5, P2, 30, 65.40 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:51.074, 6, P2, 30, 46.29 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:51.075, 7, P2, 30, 50.61 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:52.076, 0, P8, 28, 6.52 W, 3 MiB, 0 %, 0 %
2026/07/03 16:05:52.077, 1, P2, 31, 57.35 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:52.078, 2, P2, 35, 51.35 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:52.079, 3, P2, 31, 50.46 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:52.080, 4, P2, 30, 57.08 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:52.081, 5, P2, 30, 65.49 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:52.082, 6, P2, 30, 46.25 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:52.083, 7, P2, 30, 50.40 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:53.084, 0, P8, 28, 6.51 W, 3 MiB, 0 %, 0 %
2026/07/03 16:05:53.085, 1, P2, 31, 57.45 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:53.086, 2, P2, 35, 51.42 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:53.087, 3, P2, 31, 50.38 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:53.088, 4, P2, 30, 57.02 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:53.088, 5, P2, 30, 65.39 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:53.089, 6, P2, 30, 46.45 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:53.090, 7, P2, 30, 50.53 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:54.091, 0, P8, 28, 6.55 W, 3 MiB, 0 %, 0 %
2026/07/03 16:05:54.092, 1, P8, 30, 57.45 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:54.093, 2, P5, 34, 51.40 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:54.095, 3, P5, 30, 50.69 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:54.096, 4, P5, 29, 56.98 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:54.097, 5, P2, 30, 65.48 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:54.098, 6, P5, 29, 46.49 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:54.099, 7, P5, 30, 50.67 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:55.100, 0, P8, 28, 6.43 W, 3 MiB, 0 %, 0 %
2026/07/03 16:05:55.101, 1, P8, 30, 21.91 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:55.102, 2, P8, 34, 22.92 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:55.104, 3, P8, 30, 21.81 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:55.105, 4, P8, 29, 23.92 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:55.106, 5, P5, 29, 65.47 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:55.107, 6, P8, 29, 16.63 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:55.108, 7, P8, 29, 18.80 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:56.109, 0, P8, 28, 6.31 W, 3 MiB, 0 %, 0 %
2026/07/03 16:05:56.110, 1, P8, 30, 11.40 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:56.112, 2, P8, 34, 15.68 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:56.113, 3, P8, 30, 9.96 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:56.114, 4, P8, 29, 11.77 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:56.115, 5, P8, 29, 28.82 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:56.116, 6, P8, 29, 7.87 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:56.117, 7, P8, 29, 14.90 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:57.118, 0, P8, 28, 6.37 W, 3 MiB, 0 %, 0 %
2026/07/03 16:05:57.120, 1, P8, 29, 11.61 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:57.121, 2, P8, 34, 10.15 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:57.122, 3, P8, 30, 8.56 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:57.123, 4, P8, 29, 9.45 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:57.124, 5, P8, 29, 24.04 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:57.125, 6, P8, 29, 6.58 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:57.126, 7, P8, 29, 8.46 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:58.127, 0, P8, 28, 6.45 W, 3 MiB, 0 %, 0 %
2026/07/03 16:05:58.129, 1, P8, 29, 11.65 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:58.130, 2, P8, 34, 9.10 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:58.131, 3, P8, 30, 7.09 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:58.132, 4, P8, 29, 7.11 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:58.133, 5, P8, 28, 15.71 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:58.134, 6, P8, 29, 5.23 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:58.135, 7, P8, 29, 5.94 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:59.137, 0, P8, 28, 6.45 W, 3 MiB, 0 %, 0 %
2026/07/03 16:05:59.138, 1, P8, 29, 11.48 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:59.139, 2, P8, 34, 9.29 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:59.140, 3, P8, 29, 7.22 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:59.141, 4, P8, 29, 7.12 W, 390 MiB, 0 %, 0 %
2026/07/03 16:05:59.142, 5, P8, 28, 12.38 W, 390 MiB, 0 %, 0 %
