step,optimizer_step_est,tokens_b,progress,loss,l2,ce,plan,lr,sps
9600,600.0,0.3145728,6.291286568103177,1.6007,0.6939,0.1704,0.9991,0.000126,3.2
9700,606.25,0.3178496,6.356820803187585,1.5843,0.6872,0.1703,0.9883,0.000127,3.2
9800,612.5,0.3211264,6.422355038271993,1.5841,0.6891,0.1706,0.993,0.000129,3.2
9900,618.75,0.3244032,6.487889273356401,1.5788,0.6901,0.1733,0.9874,0.00013,3.2
10000,625.0,0.32768,6.553423508440809,1.5785,0.6863,0.1692,0.9875,0.000131,3.2
10100,631.25,0.3309568,6.618957743525218,1.5809,0.6877,0.1747,0.987,0.000133,3.2
10200,637.5,0.3342336,6.684491978609626,1.5804,0.6867,0.1654,0.9913,0.000134,3.2
10300,643.75,0.3375104,6.750026213694034,1.5899,0.6884,0.1765,0.997,0.000135,3.3
10400,650.0,0.3407872,6.815560448778442,1.5851,0.6854,0.168,0.9906,0.000137,3.2
10500,656.25,0.344064,6.88109468386285,1.5769,0.6824,0.171,0.9873,0.000138,3.2
10600,662.5,0.3473408,6.946628918947257,1.5822,0.6847,0.1751,0.9916,0.000139,3.2
10700,668.75,0.3506176,7.012163154031666,1.5753,0.6868,0.1708,0.9934,0.000141,3.2
10800,675.0,0.3538944,7.077697389116073,1.5768,0.6839,0.1748,0.987,0.000142,3.3
10900,681.25,0.3571712,7.1432316242004825,1.5849,0.6907,0.1716,0.9946,0.000143,3.2
11000,687.5,0.360448,7.208765859284891,1.5891,0.6863,0.1628,0.9929,0.000145,3.2
11100,693.75,0.3637248,7.274300094369298,1.577,0.6902,0.1749,0.9871,0.000146,3.2
11200,700.0,0.3670016,7.339834329453707,1.5652,0.6865,0.1793,0.9787,0.000147,3.2
11300,706.25,0.3702784,7.405368564538114,1.5703,0.6875,0.1719,0.9841,0.000149,3.2
11400,712.5,0.3735552,7.470902799622523,1.5806,0.6913,0.1677,0.986,0.00015,3.2
11500,718.75,0.376832,7.53643703470693,1.5722,0.685,0.1746,0.9902,0.000151,3.2
